id	direction	origin_kind	producer	fetch_api	current_policy	wrapper_chain	terminal_consumer	operation	byte_range	oos_capable	classification	required_handling	current_handling	verdict	evidence	test	finding_id	followup
F-110	forward	heap_instance	old user heap record (UPDATE, non-locking)	heap_get_visible_version(...COPY,CONSUME)	CONSUME	locator_update_force (else !need_locking) -> heap_get_visible_version	oldrecdes -> same consumers as F-109 (or_mvcc_get_header header-only + locator_update_index attr-layer Resolve)	fetch old record for index maintenance	header + variable(attr-layer)	true	RESOLVE	RESOLVE (revert to DONT_CONSUME)	CONSUME (Expand)	OVER_EXPAND	locator_sr.c:5797-5800 heap_get_visible_version(COPY,CONSUME); INCONSISTENT with F-109 (5793 DONT_CONSUME) - same downstream consumer	eager Expand unnecessary; consumer is attr layer	F-202	Revert to DONT_CONSUME. RISK: expanding a large multi-chunk OOS old record into DB_PAGESIZE*2 area can return S_DOESNT_FIT; update_force has NO grow-retry here (falls to ER_FAILED) -> possible spurious UPDATE failure for large OOS rows
F-111	forward	heap_instance	old user heap record (UPDATE in-place, has_index)	heap_get_visible_version(...COPY,CONSUME)	CONSUME	locator_update_force (in-place has_index oldrecdes==NULL) -> heap_get_visible_version	oldrecdes -> or_mvcc_get_header + locator_update_index (attr-layer Resolve)	fetch old record for index maintenance	header + variable(attr-layer)	true	RESOLVE	RESOLVE (revert to DONT_CONSUME)	CONSUME (Expand)	OVER_EXPAND	locator_sr.c:5940-5942 heap_get_visible_version(COPY,CONSUME); consumer 6042 locator_update_index attr-layer	same as F-110	F-202	Revert to DONT_CONSUME; same S_DOESNT_FIT risk as F-110
F-112	forward	heap_instance	user heap record (DELETE) OR class object	locator_lock_and_get_object_with_evaluation(...COPY,DONT_CONSUME)	DONT_CONSUME	locator_delete_force_internal -> locator_lock_and_get_object_with_evaluation	instance: copy_recdes -> locator_add_or_remove_index / partition_prune_update (heap_attrinfo_read_dbvalues/get_key Resolve); class(root oid): or_class_name (non-OOS)	delete: index-entry removal via attr layer	none/variable(attr-layer)	true	RESOLVE	RESOLVE	DONT_CONSUME	CORRECT	locator_sr.c:6281-6284 with_evaluation(DONT_CONSUME); 6338 or_class_name (class branch); 6422/6428 locator_add_or_remove_index; 6462 partition_prune_update; consumer 7945 heap_attrinfo_read_dbvalues	class branch reads non-OOS class object; instance branch attr layer	-	confirm partition_prune_update reads via attr layer (reverse audit)
F-113	forward	heap_instance	user heap record with LOB attrs	heap_get_visible_version(...COPY,CONSUME)	CONSUME	locator_delete_lob_force -> heap_get_visible_version	copy_recdes -> heap_attrinfo_delete_lob -> heap_attrvalue_read (OOS Resolve) + or_rep_id (header)	delete external LOB files referenced by record	fixed/header + variable(attr-layer)	true	RESOLVE	RESOLVE (revert to DONT_CONSUME)	CONSUME (Expand)	OVER_EXPAND	locator_sr.c:6579-6581 heap_get_visible_version(COPY,CONSUME); heap_file.c:11063 heap_attrinfo_delete_lob -> heap_attrvalue_read; 11040 or_rep_id	LOB locator IS OOS-eligible (ADR-0002) but attr layer already resolves it; Expand wasteful (locator is small)	F-203	Revert to DONT_CONSUME; low severity (LOB locator small)
F-114	forward	heap_instance	old user heap record (replication apply)	heap_get_visible_version(...PEEK,CONSUME)	CONSUME	locator_repl_prepare_force -> heap_get_visible_version	old_recdes -> or_chn(old_recdes) ONLY (CHN in header)	replication UPDATE prepare: read old CHN to bump new CHN	header/CHN	true	STORED_SAFE	STORED_SAFE (revert to DONT_CONSUME)	CONSUME (Expand)	OVER_EXPAND	locator_sr.c:6943-6945 heap_get_visible_version(PEEK,CONSUME); sole consumer 6960 or_chn(old_recdes)	only CHN (header) is read; Expand materializes whole record for nothing	F-204	Revert to DONT_CONSUME; wasteful full/multi-chunk materialization to read one header field
F-115	forward	heap_instance	old user heap record (UPDATE in-place/no-lock)	heap_get_last_version (context DONT_CONSUME)	DONT_CONSUME	locator_attribute_info_force -> heap_init_get_context(DONT_CONSUME) -> heap_get_last_version	copy_recdes(old_recdes) -> locator_allocate_copy_area_by_attr_info -> heap_attrinfo_transform_to_disk -> heap_attrinfo_set_uninitialized -> heap_attrvalue_read (Resolve)	build new record, pull unchanged attrs from old record via attr layer	variable(attr-layer)	true	RESOLVE	RESOLVE	DONT_CONSUME	CORRECT	locator_sr.c:7614-7616 heap_init_get_context(DONT_CONSUME)+heap_get_last_version; 7674 old_recdes; 7682/7499 transform_to_disk; heap_file.c:11948 heap_attrvalue_read	unchanged-attr read is OOS-aware	-	-
F-116	forward	heap_instance	old user heap record (UPDATE, locked select-phase)	locator_lock_and_get_object(...COPY,DONT_CONSUME)	DONT_CONSUME	locator_attribute_info_force (else) -> locator_lock_and_get_object	copy_recdes(old_recdes) -> transform_to_disk (attr-layer Resolve)	same as F-115 (locked branch)	variable(attr-layer)	true	RESOLVE	RESOLVE	DONT_CONSUME	CORRECT	locator_sr.c:7634-7635 locator_lock_and_get_object(COPY,DONT_CONSUME); 7674 old_recdes -> transform_to_disk	-	-	-
F-117	forward	heap_instance	user heap record	heap_next(...COPY,DONT_CONSUME)	DONT_CONSUME	xlocator_remove_class_from_index -> heap_next	copy_rec -> heap_attrinfo_read_dbvalues -> extract key -> btree remove	remove index entries per instance	variable(attr-layer)	true	RESOLVE	RESOLVE	DONT_CONSUME	CORRECT	locator_sr.c:9158-9160 heap_next(COPY,DONT_CONSUME); 9180 heap_attrinfo_read_dbvalues	attr-layer key extraction	-	-
F-118	forward	heap_instance	user heap record	heap_next(...COPY,DONT_CONSUME)	DONT_CONSUME	locator_check_btree_entries -> heap_next	record -> locator_eval_filter_predicate + heap_attrinfo_read_dbvalues + heap_attrvalue_get_key	btree consistency check (heap->index)	variable(attr-layer)	true	RESOLVE	RESOLVE	DONT_CONSUME	CORRECT	locator_sr.c:9614-9615 heap_next(COPY,DONT_CONSUME); 9621 eval_filter_predicate; 9638 read_dbvalues; 9639 heap_attrvalue_get_key	all attr-layer	-	-
F-119	forward	heap_instance	user heap record	heap_next(...PEEK,DONT_CONSUME)	DONT_CONSUME	locator_check_unique_btree_entries -> heap_next	peek -> eval_filter_predicate + heap_attrinfo_read_dbvalues + heap_attrvalue_get_key	unique btree consistency check	variable(attr-layer)	true	RESOLVE	RESOLVE	DONT_CONSUME	CORRECT	locator_sr.c:10069-10070 heap_next(PEEK,DONT_CONSUME); 10088 read_dbvalues; 10091 heap_attrvalue_get_key	all attr-layer	-	-
F-120	forward	class_catalog	root/_db_class heap object (class_to_disk serializer)	heap_next(...COPY,DONT_CONSUME)	DONT_CONSUME	locator_check_all_entries_of_all_btrees -> heap_next	copy_rec -> or_class_hfid(&copy_rec) (fixed class field)	iterate all classes to check their btrees	fixed(class hfid field)	false	EXCLUDED	n/a (class objects never OOS-demoted)	DONT_CONSUME	EXCLUDED	locator_sr.c:10783-10784 heap_next(root_hfid,COPY,DONT_CONSUME); 10790 or_class_hfid	class-heap scan; reads fixed class field	-	same producer dependency as F-101
F-121	forward	heap_instance	user heap record	heap_next(...COPY,DONT_CONSUME)	DONT_CONSUME	xlocator_check_fk_validity -> heap_next	copy_recdes -> heap_attrinfo_generate_key -> btree_check_foreign_key	FK validity scan: generate key from each instance	variable(attr-layer)	true	RESOLVE	RESOLVE	DONT_CONSUME	CORRECT	locator_sr.c:11969 heap_next(COPY,DONT_CONSUME); 11972-11974 heap_attrinfo_generate_key	attr-layer key gen	-	-
F-122	forward	heap_instance	user heap record (OID probe before lock)	heap_next(...COPY,DONT_CONSUME)	DONT_CONSUME	xlocator_lock_and_fetch_all (instance_lock branch) -> heap_next	oid only; recdes body discarded, re-fetched at 12151	fetch OID to lock, then re-fetch visible version	none (body unused)	true	NO_BODY	preserve	DONT_CONSUME	CORRECT	locator_sr.c:12124-12126 heap_next(COPY,DONT_CONSUME) just to obtain oid; body overwritten by 12149-12151 re-fetch	first fetch body never consumed	-	-
F-123	forward	heap_instance	user heap record	heap_get_visible_version(...COPY,CONSUME)	CONSUME	xlocator_lock_and_fetch_all (after lock) -> heap_get_visible_version	recdes -> LC_COPYAREA (obj) -> client	bulk fetch to client (post-lock)	full	true	EXPAND	EXPAND	CONSUME (Expand)	CORRECT	locator_sr.c:12149-12151 heap_get_visible_version(COPY,CONSUME); S_DOESNT_FIT -> retry_current_oid break 12154-12158; pack 12174-12189	census-confirmed genuine Expand; S_DOESNT_FIT retry holds	-	-
F-124	forward	heap_instance	user heap record	heap_next(...COPY,CONSUME)	CONSUME	xlocator_lock_and_fetch_all (no instance_lock) -> heap_next	recdes -> LC_COPYAREA (obj) -> client	bulk fetch to client	full	true	EXPAND	EXPAND	CONSUME (Expand)	CORRECT	locator_sr.c:12166-12167 heap_next(COPY,CONSUME); pack 12174-12189	genuine Expand	-	-
F-125	forward	heap_instance	source-partition user heap record	heap_get_visible_version(...COPY,CONSUME)	CONSUME	redistribute_partition_data -> heap_get_visible_version	recdes -> locator_insert_force(&recdes) INTO target partition heap	partition redistribution: re-insert raw record into another heap file	full	true	EXPAND	EXPAND	CONSUME (Expand)	CORRECT	locator_sr.c:13064-13066 heap_get_visible_version(COPY,CONSUME); 13077-13080 locator_insert_force into target hfid	MUST expand: source OOS OIDs point to source heap OOS file; target re-demotes into its own OOS file. census-confirmed	-	-
F-126	forward	heap_instance	cross-class user heap record (MVCC reeval)	heap_get_visible_version(...PEEK,CONSUME)	CONSUME	locator_mvcc_reeval_scan_filters (!is_upddel) -> heap_get_visible_version	temp_recdes -> heap_attrinfo_read_dbvalues + locator_mvcc_reevaluate_filters (attr-layer)	MVCC re-evaluate filters on another class row	variable(attr-layer)	true	RESOLVE	RESOLVE (revert to DONT_CONSUME)	CONSUME (Expand)	OVER_EXPAND	locator_sr.c:13829-13831 heap_get_visible_version(PEEK,CONSUME); consumers 13847 heap_attrinfo_read_dbvalues, 13868 locator_mvcc_reevaluate_filters	predicate reeval uses attr layer; Expand unnecessary	F-205	Revert to DONT_CONSUME
F-127	forward	wrapper	n/a (policy pass-through)	locator_lock_and_get_object_with_evaluation(param)	PROPAGATE	locator_lock_and_get_object_with_evaluation -> heap_init_get_context -> locator_lock_and_get_object_internal	forwards recdes_consumption_policy into HEAP_GET_CONTEXT	policy-parameter wrapper for delete/update+reeval fetch	n/a	true	PROPAGATE	forwards caller policy	PROPAGATE	CORRECT	locator_sr.c:13319-13356 param -> heap_init_get_context(...,recdes_consumption_policy). Callers: F-109/F-110? (5790 in-file), 6282 (F-112 in-file); CROSS-FILE: query_executor.c:14555, scan_manager.c:6041, scan_manager.c:6861	verify each caller's policy is correct	-	cross-file callers audited by fwd agents (query_executor.c:14555, scan_manager.c:6041/6861)
F-128	forward	wrapper	n/a (policy pass-through)	locator_get_object(param)	PROPAGATE	locator_get_object -> heap_init_get_context -> heap_get_visible_version_internal OR locator_lock_and_get_object_internal	forwards policy into HEAP_GET_CONTEXT (both lock/no-lock branches)	policy-parameter wrapper (class_oid unknown)	n/a	true	PROPAGATE	forwards caller policy	PROPAGATE	CORRECT	locator_sr.c:13463-13492 param -> heap_init_get_context; branches 13545/13550. In-file callers: 2340 (F-103), 3965 (F-106); CROSS-FILE: query_executor.c:13856	-	-	cross-file caller query_executor.c:13856 audited by fwd agent
F-129	forward	wrapper	n/a (policy pass-through)	locator_lock_and_get_object(param)	PROPAGATE	locator_lock_and_get_object -> heap_init_get_context -> locator_lock_and_get_object_internal	forwards policy into HEAP_GET_CONTEXT	policy-parameter wrapper for delete/update fetch	n/a	true	PROPAGATE	forwards caller policy	PROPAGATE	CORRECT	locator_sr.c:13577-13596 param -> heap_init_get_context. In-file callers: 4446(F-107),4802(F-108),7634(F-116); CROSS-FILE: compactdb_sr.c:215	-	-	cross-file caller compactdb_sr.c:215 (compactdb) audited by fwd agent
F-201	forward	heap instance RECDES	scan_next_heap_scan (S_HEAP_SCAN, S_FORWARD)	heap_next	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	heap_next->recdes(local)->eval_data_filter / heap_attrinfo_read_dbvalues	heap_attrinfo_read_dbvalues->heap_attrvalue_read->heap_attrvalue_point_variable->heap_attrvalue_read_oos_inline->oos_read (attr-layer Resolve)	predicate eval on pred_attrs + rest-attr projection into attr cache; fetch_val_list reads resolved DB_VALUEs (PEEK)	variable (per-attr resolve; no raw recdes byte consumed)	yes (user table, arbitrary variable columns)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/scan_manager.c:5928 scan_next_heap_scan; eval_data_filter src/query/query_evaluator.c:2763 heap_attrinfo_read_dbvalues; rest at scan_manager.c:6171; attr-layer OOS reader heap_file.c:10382 heap_attrvalue_read_oos_inline->oos_read	OOS Test 1.1/1.4 heap SELECT full scan	-	-
F-202	forward	heap instance RECDES	scan_next_heap_scan (S_HEAP_SCAN, S_BACKWARD)	heap_prev	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	heap_prev->recdes(local)->eval_data_filter / heap_attrinfo_read_dbvalues	heap_attrinfo_read_dbvalues->heap_attrvalue_read->...->oos_read (attr-layer Resolve)	predicate eval + rest-attr projection (backward scan)	variable (per-attr resolve)	yes (user table)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/scan_manager.c:5945 scan_next_heap_scan backward branch; same consumers as F-201	OOS SELECT backward scan	-	-
F-203	forward	heap instance RECDES	scan_next_heap_scan (mvcc_select_lock_needed re-fetch)	locator_lock_and_get_object_with_evaluation	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	locator_lock_and_get_object_with_evaluation->recdes(local)->rest heap_attrinfo_read_dbvalues + mvcc reeval filter	heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve); MVCC cond reeval reads via attr layer	locked re-fetch of visible version, MVCC reevaluation then rest-attr projection	variable (per-attr resolve)	yes (user table)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/scan_manager.c:6043 scan_next_heap_scan lock path; rest read scan_manager.c:6171	OOS SELECT ... FOR UPDATE / mvcc lock path	-	-
F-204	forward	heap instance RECDES	scan_next_index_lookup_heap	heap_get_visible_version	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	heap_get_visible_version->recdes(local)->eval_data_filter	eval_data_filter->heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve)	index-lookup heap fetch then data-filter predicate eval	variable (per-attr resolve)	yes (user table)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/scan_manager.c:6808 scan_next_index_lookup_heap; eval_data_filter at scan_manager.c:6836 -> query_evaluator.c:2763	OOS index scan non-covering	-	-
F-205	forward	heap instance RECDES	scan_next_index_lookup_heap (mvcc_select_lock_needed)	locator_lock_and_get_object_with_evaluation	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	locator_lock_and_get_object_with_evaluation->recdes(local)->mvcc reeval filter	MVCC cond reevaluation reads via attr layer (heap_attrinfo_read_dbvalues path)	locked re-fetch + MVCC reevaluation on index scan	variable (per-attr resolve)	yes (user table)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/scan_manager.c:6864 scan_next_index_lookup_heap lock path	OOS index scan with lock	-	-
F-206	forward	heap instance RECDES	qexec_execute_update (has_delete lob-cleanup)	heap_get_visible_version	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	heap_get_visible_version->recdes(local)->heap_attrinfo_read_dbvalues(crt_del_lob_info->attr_info)	heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve); db_get_elo on resolved DB_VALUE then db_elo_delete	read LOB attributes to delete external LOB files on delete-during-update	variable (LOB locator attrs via attr layer; ADR-0002 LOB locators OOS-demotable)	yes (user table, BLOB/CLOB locator eligible for OOS)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/query_executor.c:10664 qexec_execute_update; consumer heap_attrinfo_read_dbvalues at query_executor.c:10671	OOS UPDATE with LOB column delete path	-	-
F-207	forward	heap instance RECDES	qexec_execute_delete (lob-cleanup)	heap_get_visible_version	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	heap_get_visible_version->recdes(local)->heap_attrinfo_read_dbvalues(crt_del_lob_info->attr_info)	heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve); db_get_elo->db_elo_delete	read LOB attributes to delete external LOB files on DELETE	variable (LOB locator attrs via attr layer)	yes (user table, BLOB/CLOB locator)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/query_executor.c:11474 qexec_execute_delete; consumer heap_attrinfo_read_dbvalues at query_executor.c:11481	OOS DELETE with LOB column	-	-
F-208	forward	heap instance RECDES	qexec_execute_duplicate_key_update	heap_get_visible_version	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	heap_get_visible_version->rec_descriptor(local)->[opt or_set_rep_id header-only]->heap_attrinfo_read_dbvalues(odku->attr_info)	heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve); eval_pred on resolved DB_VALUEs	fetch existing duplicate-key row, read attrs for ON DUPLICATE KEY UPDATE constraint eval	variable (per-attr resolve; or_set_rep_id only rewrites rep-id header bits, not variable area)	yes (user table)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/query_executor.c:12309 qexec_execute_duplicate_key_update; or_set_rep_id at query_executor.c:12325 (header only); consumer heap_attrinfo_read_dbvalues at query_executor.c:12331	OOS INSERT ... ON DUPLICATE KEY UPDATE	-	note: or_set_rep_id header rewrite is not raw variable-area consumption
F-209	forward	heap instance RECDES	qexec_execute_obj_fetch	locator_get_object	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	locator_get_object->oRec(local)->heap_attrinfo_read_dbvalues(cache_pred / cache_rest)	heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve)	object-fetch (path expr / OID deref) predicate + rest attribute read	variable (per-attr resolve)	yes (user table)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/query_executor.c:13857 qexec_execute_obj_fetch; consumers heap_attrinfo_read_dbvalues at query_executor.c:13987 and 14027	OOS object-fetch / path-expression	-	-
F-210	forward	heap instance RECDES	qexec_execute_selupd_list (click-counter increment)	locator_lock_and_get_object_with_evaluation	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	locator_lock_and_get_object_with_evaluation(recdes=NULL)->internal MVCC reeval only	MVCC cond reevaluation (internal attr-layer read); no recdes returned to caller	lock object + reevaluate for SELECT ... FOR UPDATE increment; caller reads no record bytes	none (recdes arg is NULL; caller consumes no bytes)	no (serial-like click counter, numeric)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/query_executor.c:14558 qexec_execute_selupd_list; recdes NULL passed at query_executor.c:14556	selupd increment path	-	recdes=NULL: no body consumed by this caller; policy governs internal reeval fetch which is attr-layer
F-211	forward	heap instance RECDES (system catalog db_serial)	xserial_get_current_value_internal	heap_get_visible_version	HEAP_RECDES_CONSUME_RAW_BYTES	heap_get_visible_version(Expand)->recdesc(local)->heap_attrinfo_read_dbvalues(current_val attr)	heap_attrinfo_read_dbvalues->heap_attrvalue_read->...->oos_read (attr-layer Resolve); heap_attrinfo_access(current_val)	read serial current_val; record consumed ONLY through attribute layer, never as raw bytes	variable (single attr via attr layer; record-level Expand is wasted)	no (db_serial record << 4060B OOS target; cannot realistically go OOS)	RESOLVE	DONT_CONSUME_RAW_BYTES	CONSUME_RAW_BYTES	OVER_EXPAND	src/query/serial.c:234 xserial_get_current_value_internal; consumer heap_attrinfo_read_dbvalues at serial.c:263 -> attr-layer resolve	OOS: verify serial current value read (system catalog, no raw-byte path)	FIND-F3-01	revert to DONT_CONSUME_RAW_BYTES; matches weekly-meeting flag; confirm against CBRD-26847 census _expand_ge audit
F-212	forward	heap instance RECDES (system catalog db_serial)	serial_update_cur_val_of_serial	heap_get_visible_version	HEAP_RECDES_CONSUME_RAW_BYTES	heap_get_visible_version(Expand)->recdesc(local)->heap_attrinfo_read_dbvalues(all attrs)->heap_attrinfo_set+serial_update_serial_object->heap_attrinfo_transform_to_disk(old_recdes=recdesc)	heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve); transform_to_disk->heap_attrinfo_set_uninitialized->heap_attrvalue_read (attr-layer) for residual; new record rebuilt from attr_info DB_VALUEs, written by spage_update	read all serial attrs, set current_val, re-serialize and spage_update the row	variable (attr layer read + attr-layer-driven re-serialize; old recdesc never read as raw bytes)	no (db_serial record << 4060B OOS target)	RESOLVE	DONT_CONSUME_RAW_BYTES	CONSUME_RAW_BYTES	OVER_EXPAND	src/query/serial.c:511 serial_update_cur_val_of_serial; read serial.c:533; transform serial.c:955 heap_attrinfo_transform_to_disk -> heap_attrinfo_set_uninitialized heap_file.c:11948 heap_attrvalue_read (attr-layer, OOS-aware)	OOS: serial cache flush update (system catalog)	FIND-F3-02	revert to DONT_CONSUME_RAW_BYTES; transform_to_disk consumes old_recdes only via OOS-aware attr reader, not raw
F-213	forward	heap instance RECDES (system catalog db_serial)	xserial_get_next_value_internal	heap_get_visible_version	HEAP_RECDES_CONSUME_RAW_BYTES	heap_get_visible_version(Expand)->recdesc(local)->heap_attrinfo_read_dbvalues(all attrs)->...->serial_update_serial_object->heap_attrinfo_transform_to_disk(old_recdes=recdesc)	heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve); transform_to_disk->heap_attrinfo_set_uninitialized->heap_attrvalue_read (attr-layer); spage_update writes rebuilt record	read serial attrs, compute next value, re-serialize and update the row	variable (attr layer read + attr-layer re-serialize; old recdesc never raw-consumed)	no (db_serial record << 4060B OOS target)	RESOLVE	DONT_CONSUME_RAW_BYTES	CONSUME_RAW_BYTES	OVER_EXPAND	src/query/serial.c:648 xserial_get_next_value_internal; read serial.c:670; update via serial_update_serial_object serial.c:816 -> heap_attrinfo_transform_to_disk serial.c:955	OOS: serial next-value (auto-increment) update (system catalog)	FIND-F3-03	revert to DONT_CONSUME_RAW_BYTES; same rationale as F-212
F-214	forward	heap instance RECDES (system catalog CT_GLOBAL_TRAN)	find_row_by_gtrid_bqual	heap_next	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	heap_next->recdes(local)->heap_attrinfo_read_dbvalues(attr_info)	heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve); db_get_int on gtrid/bqual	scan global-tran catalog, match gtrid/bqual (INT attrs)	variable (per-attr resolve; only INT attrs inspected)	unlikely (system catalog, small rows)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/dblink_global_tran_catalog.c:247 find_row_by_gtrid_bqual; consumer heap_attrinfo_read_dbvalues at dblink_global_tran_catalog.c:215	dblink global-tran lookup	-	-
F-215	forward	heap instance RECDES (system catalog CT_GLOBAL_TRAN)	dblink_global_tran_scan_for_recovery	heap_next	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	heap_next->recdes(local)->heap_attrinfo_read_dbvalues(attr_info)	heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve); db_get_int/db_get_string per attr	scan global-tran catalog for 2PC recovery; read gtrid/bqual/conn_url/user/password/state	variable (per-attr resolve via db_get_string on resolved DB_VALUEs)	unlikely (system catalog, small rows; conn_url/password bounded)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/dblink_global_tran_catalog.c:515 dblink_global_tran_scan_for_recovery; consumer heap_attrinfo_read_dbvalues at dblink_global_tran_catalog.c:447	dblink 2PC recovery scan	-	-
F-216	forward	heap instance RECDES	leaf_slot_walker::process_oid (parallel non-covering index scan)	heap_get_visible_version	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	heap_get_visible_version->heap_recdes(local)->eval_data_filter / heap_attrinfo_read_dbvalues(rest)	eval_data_filter->heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve); rest attrs read via attr layer	parallel index scan heap fetch: data-filter predicate + rest-attr projection	variable (per-attr resolve)	yes (user table)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/query/parallel/px_scan/index/px_scan_index_leaf_slot_walker.cpp:456 leaf_slot_walker::process_oid; eval_data_filter at :481; rest heap_attrinfo_read_dbvalues at :498	OOS parallel index scan	-	-
F-217	forward	heap instance RECDES	xhistogram_build_multi_by_fullscan_reservoir	heap_next	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	heap_next->recdes(local)->heap_attrinfo_read_dbvalues(attr_info)->heap_attrinfo_access	heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve); collectors[i]->feed(DB_VALUE)	full-scan histogram reservoir sampling: read sampled attrs as DB_VALUEs	variable (per-attr resolve)	yes (user table)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/optimizer/histogram/histogram_sampler_sr.cpp:1927 xhistogram_build_multi_by_fullscan_reservoir; consumer heap_attrinfo_read_dbvalues at :1934	OOS ANALYZE / histogram sampling	-	-
F-218	forward	heap instance RECDES	xstats_collect_ndv_by_fullscan_reservoir	heap_next	HEAP_RECDES_DONT_CONSUME_RAW_BYTES	heap_next->recdes(local)->heap_attrinfo_read_dbvalues(attr_info)->heap_attrinfo_access	heap_attrinfo_read_dbvalues->...->oos_read (attr-layer Resolve); ndv_hll_hash(DB_VALUE)	full-scan NDV (HyperLogLog) sampling: read sampled attrs as DB_VALUEs	variable (per-attr resolve)	yes (user table)	RESOLVE	DONT_CONSUME_RAW_BYTES	DONT_CONSUME_RAW_BYTES	CORRECT	src/optimizer/histogram/histogram_sampler_sr.cpp:2258 xstats_collect_ndv_by_fullscan_reservoir; consumer heap_attrinfo_read_dbvalues at :2265	OOS NDV statistics sampling	-	-
F-301	forward	catalog-instance heap record (_db_class/_db_index)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version -> catcls_get_or_value_from_record -> or_init/catcls_get_or_value_from_buffer; also locator_add_or_remove_index (repl)	catcls_get_or_value_from_record (OR_BUF parse of whole record)	OR_BUF logical parse of entire record body + replication ship	full (whole record OR_BUF-parsed)	yes (catalog class instances go through normal heap update path -> demotion possible)	EXPAND	CONSUME	CONSUME	CORRECT	src/storage/catalog_class.c:4014 catcls_delete_instance -> catcls_get_or_value_from_record (catalog_class.c:3629 or_init(buf,record->data,record->length)); one of the 5 census genuine-Expand sites	OOS-backed catalog instance delete + reindex; verify no stub leak into repl log	-	Matches ADR-0003 census (genuine raw-byte consumer)
F-302	forward	catalog-instance heap record (_db_class/_db_index)	heap_get_visible_version	heap_get_visible_version	CONSUME	heap_get_visible_version -> or_chn(old_record) + catcls_get_or_value_from_record -> or_init	catcls_get_or_value_from_record (OR_BUF parse) + or_chn	CHN read + full-record OR_BUF logical parse	full (OR_BUF parse) + fixed(CHN)	yes	EXPAND	CONSUME	CONSUME	CORRECT	src/storage/catalog_class.c:4180 catcls_update_instance -> or_chn(&old_record) + catcls_get_or_value_from_record; census genuine-Expand site	OOS-backed catalog update; verify old-record parse resolves stubs	-	Matches ADR-0003 census
